50 25 20
'brownies' au chocolat blanc et noix de coco
Advocaat (crème alcoolisée)
'the' tarte aux fraises
Achard de crevettes
Agneau au curry et au pamplemousse
'the' tarte au citron meringuée
"gâteau galette" aux pommes, noisettes, chocolat et brousse
Accras d'écrevisses
"tajine" de calamars et crevettes
Agneau au miel de gingembre
Abricots rôtis au romarin et faisselle au caramel de lavande
"chococroc" aux deux chocolats
12 petits fondants au chocolat
"the" charlotte aux fraises
